,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,cape town,-33.93,18.42,25.0,61,0,1.5,ZA,1609746619
88,upernavik,72.79,-56.15,-12.23,94,100,4.02,GL,1609746852
89,victoria,22.29,114.16,20.0,60,33,1.47,HK,1609746614
90,haines junction,60.75,-137.51,-13.52,91,100,0.92,CA,1609746852
91,zhigansk,66.77,123.37,-37.58,81,77,0.72,RU,1609746853
92,cuicatlan,17.8,-96.97,19.66,69,97,0.5,MX,1609746853
93,brokopondo,4.75,-55.17,23.78,87,90,2.51,SR,1609746853
94,hilo,19.73,-155.09,22.0,78,90,2.6,US,1609746740
95,torbay,47.67,-52.73,0.56,92,90,8.2,CA,1609746854
96,gorontalo,0.54,123.06,27.47,80,86,2.35,ID,1609746854
97,la ceiba,15.76,-86.78,23.99,81,4,1.01,HN,1609746854
98,cumpas,29.98,-109.78,9.69,45,0,0.78,MX,1609746854
99,camacha,33.08,-16.33,16.0,72,75,8.7,PT,1609746854
100,arraial do cabo,-22.97,-42.03,23.17,89,100,1.99,BR,1609746667
101,taoudenni,22.68,-3.98,17.17,27,0,2.08,ML,1609746855
102,barrow,71.29,-156.79,-18.0,77,90,6.2,US,1609746855
103,guerrero negro,27.98,-114.06,13.6,87,0,3.25,MX,1609746855
104,meulaboh,4.14,96.13,28.49,68,100,1.73,ID,1609746855
105,touros,-5.2,-35.46,25.0,88,20,2.6,BR,1609746856
106,majene,-3.54,118.97,29.47,69,87,4.69,ID,1609746856
107,visnes,59.36,5.22,-5.0,92,0,2.6,NO,1609746856
108,waddan,29.16,16.14,13.97,73,100,6.17,LY,1609746856
109,pevek,69.7,170.31,-28.13,89,100,3.32,RU,1609746856
110,coahuayana,18.73,-103.68,20.42,60,0,1.58,MX,1609746857
111,lazarev,52.23,141.51,-23.02,85,99,4.26,RU,1609746857
112,nishihara,26.18,127.76,20.0,77,90,6.7,JP,1609746857
113,tasiilaq,65.61,-37.64,-4.0,92,76,0.5,GL,1609746858
114,geraldton,-28.77,114.6,35.0,19,0,13.4,AU,1609746858
115,sao joao da barra,-21.64,-41.05,23.15,91,100,7.3,BR,1609746812
116,pinega,64.7,43.39,-14.01,95,84,2.16,RU,1609746858
117,portland,45.52,-122.68,10.0,87,90,8.7,US,1609746583
118,ridgecrest,35.62,-117.67,6.67,48,1,0.66,US,1609746859
119,astoria,46.19,-123.83,12.0,81,90,5.7,US,1609746859
120,pisco,-13.7,-76.22,20.0,88,90,4.6,PE,1609746859
121,necochea,-38.55,-58.74,17.78,81,100,3.4,AR,1609746859
122,union,40.63,-74.27,1.67,91,90,2.1,US,1609746860
123,asau,46.43,26.4,4.44,77,83,0.7,RO,1609746860
124,san patricio,28.02,-97.52,13.33,93,1,3.1,US,1609746860
125,kloulklubed,7.04,134.26,28.0,83,75,5.1,PW,1609746861
126,tuktoyaktuk,69.45,-133.04,-29.16,88,24,0.38,CA,1609746861
127,annau,37.89,58.52,0.0,72,40,1.0,TM,1609746861
128,ecublens,46.53,6.56,0.56,88,98,0.45,CH,1609746861
129,mar del plata,-38.0,-57.56,19.44,93,100,2.1,AR,1609746752
130,cabedelo,-6.98,-34.83,25.0,88,20,2.1,BR,1609746862
131,manoharpur,27.3,75.95,21.0,68,75,5.1,IN,1609746862
132,fukue,32.69,128.84,9.0,57,75,7.2,JP,1609746862
133,zhangye,38.93,100.45,-9.74,83,98,1.48,CN,1609746862
134,iberia,29.95,-91.75,8.33,100,1,1.5,US,1609746863
135,kulhudhuffushi,6.62,73.07,27.65,72,0,2.73,MV,1609746863
136,mogadishu,2.04,45.34,29.0,54,75,7.7,SO,1609746863
137,kontagora,10.4,5.47,28.78,18,0,2.28,NG,1609746863
138,mana,5.66,-53.78,24.41,87,92,2.44,GF,1609746864
139,pangnirtung,66.15,-65.71,-23.58,84,98,0.73,CA,1609746864
140,svetlogorsk,52.63,29.73,2.32,91,100,4.58,BY,1609746864
141,butaritari,3.07,172.79,27.85,80,91,8.72,KI,1609746865
142,tommot,58.96,126.29,-30.98,84,100,1.04,RU,1609746865
143,taksimo,56.34,114.88,-25.71,83,100,0.36,RU,1609746866
144,namatanai,-3.67,152.43,28.03,73,99,4.9,PG,1609746866
145,sabang,5.89,95.32,26.12,88,100,7.61,ID,1609746866
146,port elizabeth,-33.92,25.57,26.0,74,40,5.7,ZA,1609746867
147,provideniya,64.38,-173.3,-19.73,86,0,7.74,RU,1609746867
148,banda aceh,5.56,95.32,26.64,82,99,4.11,ID,1609746867
149,ponta do sol,32.67,-17.1,17.0,77,75,7.2,PT,1609746867
150,khatanga,71.97,102.5,-15.31,94,100,6.9,RU,1609746868
151,kijang,35.24,129.21,8.0,28,0,3.6,KR,1609746868
152,morgan city,29.7,-91.21,11.0,100,40,1.41,US,1609746868
153,algiers,36.75,3.04,2.0,58,20,1.0,DZ,1609746638
154,shangzhi,45.22,127.97,-21.52,89,5,3.33,CN,1609746868
155,nikolskoye,59.7,30.79,-1.67,92,90,1.25,RU,1609746869
156,kununurra,-15.77,128.73,37.0,60,92,4.6,AU,1609746869
157,longyearbyen,78.22,15.64,-1.0,80,75,12.9,SJ,1609746869
158,ardakan,32.31,54.02,7.0,39,0,2.1,IR,1609746870
159,vilhena,-12.74,-60.15,19.98,99,87,2.12,BR,1609746870
160,siuna,13.73,-84.78,20.59,95,55,1.57,NI,1609746870
161,mahebourg,-20.41,57.7,27.0,74,75,5.7,MU,1609746870
162,lorengau,-2.02,147.27,28.57,74,100,3.3,PG,1609746871
163,qaanaaq,77.48,-69.36,-16.57,89,100,1.69,GL,1609746871
164,dalvik,65.97,-18.53,5.0,44,20,9.3,IS,1609746871
165,bambous virieux,-20.34,57.76,27.22,74,75,5.7,MU,1609746871
166,bowen,-20.02,148.23,25.0,94,75,3.1,AU,1609746871
167,cabo san lucas,22.89,-109.91,14.44,53,0,0.89,MX,1609746697
168,maine-soroa,13.21,12.02,27.55,15,0,4.73,NE,1609746872
169,alofi,-19.06,-169.92,25.0,94,75,2.1,NU,1609746633
170,trincomalee,8.57,81.23,26.93,84,100,6.89,LK,1609746872
171,saint-pierre,-21.34,55.48,29.0,62,75,10.3,RE,1609746873
172,magistralnyy,56.17,107.45,-26.24,84,100,1.77,RU,1609746873
173,pudozh,61.81,36.53,-5.58,98,95,0.98,RU,1609746873
174,faanui,-16.48,-151.75,26.97,77,82,8.41,PF,1609746873
175,harnosand,62.63,17.94,-7.22,85,0,3.1,SE,1609746873
176,axim,4.87,-2.24,27.15,81,0,3.93,GH,1609746874
177,solnechnyy,50.72,136.63,-26.53,85,66,0.89,RU,1609746874
178,saint george,37.1,-113.58,3.0,44,1,2.6,US,1609746874
179,rio bananal,-19.27,-40.33,22.02,94,100,0.87,BR,1609746875
180,keti bandar,24.14,67.45,23.53,19,0,4.35,PK,1609746875
181,grand gaube,-20.01,57.66,27.22,70,70,4.02,MU,1609746875
182,nanortalik,60.14,-45.24,-2.86,94,100,2.43,GL,1609746875
183,tamandare,-8.76,-35.1,24.53,86,1,4.15,BR,1609746875
184,luderitz,-26.65,15.16,23.0,69,86,2.48,NA,1609746876
185,san andres,12.58,-81.7,27.0,69,40,5.1,CO,1609746876
186,quelimane,-17.88,36.89,31.0,62,75,1.5,MZ,1609746876
187,anisoc,1.87,10.77,24.03,84,97,0.05,GQ,1609746876
